"Story","Title","Result","Date","Stability","Duration (s)"
"Como cliente de automationpractice","Ingreso exitoso con los campos obligatorios.","ERROR","2022-03-28T12:13:28.5876356-05:00[America/Bogota]","0.0","23.02"
"Como cliente de automationpractice","Ingreso fallido con los campos obligatorios y contraseña erronea.","ERROR","2022-03-28T12:13:52.8416402-05:00[America/Bogota]","0.0","33.43"
